"","ensembl_gene_id","external_gene_name","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2085","ENSG00000228987","HLA-DRA","major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]",5.38764207511316,34.5798871407281,5.77150749374394,5.99148267211143,2.07936483967788e-09,1.43464871001223e-08
"2272","ENSG00000256043","CTSO","cathepsin O [Source:HGNC Symbol;Acc:HGNC:2542]",311.934951206275,11.6994233182317,1.37316377334065,8.52004949837061,1.59485145094985e-17,2.31208344363656e-16
"920","ENSG00000139572","GPR84","G protein-coupled receptor 84 [Source:HGNC Symbol;Acc:HGNC:4535]",373.979161275287,11.535191565592,1.0539751715879,10.9444623332193,7.06355651441763e-28,1.90270492758275e-26
"2125","ENSG00000231968","UBD","ubiquitin D [Source:HGNC Symbol;Acc:HGNC:18795]",3822.61929020877,11.3184681750501,3.82983486083393,2.9553410489834,0.00312323586885487,0.00859256637708442
"2088","ENSG00000229467","OR2I1P","olfactory receptor family 2 subfamily I member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8258]",942.675590475481,10.8983602525807,2.25756479808489,4.82748502360856,1.38268083259314e-06,6.60843422413776e-06
"1634","ENSG00000179344","HLA-DQB1","major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]",327.61257702124,10.8540684408003,1.01776989740937,10.664560298382,1.49102619674404e-26,3.79683801329888e-25
"1897","ENSG00000204287","HLA-DRA","major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]",1187.68852352753,10.6758477691383,1.2808587947203,8.3349138977256,7.75546097363954e-17,1.06483050568411e-15
"2006","ENSG00000223441","OR2I1P","olfactory receptor family 2 subfamily I member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8258]",342.796097123607,10.6094003041516,2.48480567246162,4.26971027220863,1.95727050073258e-05,7.91206625803925e-05
"2126","ENSG00000231973","OR2I1P","olfactory receptor family 2 subfamily I member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8258]",342.796097123607,10.6094003041516,2.48480567246162,4.26971027220863,1.95727050073258e-05,7.91206625803925e-05
"2128","ENSG00000232049","OR2I1P","olfactory receptor family 2 subfamily I member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8258]",342.796097123607,10.6094003041516,2.48480567246162,4.26971027220863,1.95727050073258e-05,7.91206625803925e-05
"379","ENSG00000108342","CSF3","colony stimulating factor 3 [Source:HGNC Symbol;Acc:HGNC:2438]",4460.34595518729,10.6065713777617,0.728529619461381,14.5588746077386,5.12952971800173e-48,3.13881282654679e-46
"2356","ENSG00000274233","CCL5","C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]",134.981369751268,10.6045758128347,1.53315905537328,6.91681386589914,4.61914349259599e-12,4.18417244607712e-11
"1311","ENSG00000164400","CSF2","colony stimulating factor 2 [Source:HGNC Symbol;Acc:HGNC:2434]",104.436053528325,10.5672114893372,1.14855372135546,9.20045035147889,3.56452665938081e-20,6.14543582764065e-19
"898","ENSG00000138755","CXCL9","C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]",213817.347058643,10.5580441607633,0.165436295318725,63.8193942896419,0,0
"2082","ENSG00000228913","UBD","ubiquitin D [Source:HGNC Symbol;Acc:HGNC:18795]",6652.90759278399,10.4668730520531,1.71742330007913,6.09452139817297,1.09765350156075e-09,7.80735570037954e-09
"1867","ENSG00000198502","HLA-DRB5","major histocompatibility complex, class II, DR beta 5 [Source:HGNC Symbol;Acc:HGNC:4953]",765.188783332093,10.450418242,1.80331247112552,5.79512336842957,6.82709763495433e-09,4.4470503469631e-08
"1444","ENSG00000169245","CXCL10","C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]",125757.467119881,10.4343016590749,0.20606428299634,50.6361486199928,0,0
"1643","ENSG00000179826","MRGPRX3","MAS related GPR family member X3 [Source:HGNC Symbol;Acc:HGNC:17980]",324.880166581075,10.395056131437,1.06528431980912,9.75801101934896,1.70465522561181e-22,3.40582139082032e-21
"388","ENSG00000108700","CCL8","C-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:10635]",31026.2675190995,10.3819084783952,0.386238131411001,26.879553400044,3.80873736183956e-159,1.20115857200537e-156
"290","ENSG00000102794","ACOD1","aconitate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:33904]",7556.0053759574,10.34872242682,0.393637256640252,26.2899973319289,2.49560890726268e-152,7.20527985774335e-150
"1445","ENSG00000169248","CXCL11","C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]",56286.1897291047,10.290037853842,0.232244164580155,44.3069812860272,0,0
"2183","ENSG00000237988","OR2I1P","olfactory receptor family 2 subfamily I member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8258]",16109.0810556482,10.2820601430277,0.384206665451545,26.7617953242522,9.00195791087087e-158,2.79592629113548e-155
